id,name,azimuth,cone_angle,started_at,last_seen_at,is_wildfire,angle_of_view,lat,lon
5377,croix-augas-01,294.0,0.0,2025-05-01T18:33:39.341030,2025-05-01T18:36:07.347213,,54.2,48.4267461256,2.7108759097
5362,croix-augas-01,246.0,0.0,2025-05-01T11:21:13.443379,2025-05-01T11:30:43.714244,,54.2,48.4267461256,2.7108759097
5361,croix-augas-01,30.0,0.0,2025-05-01T11:18:43.731618,2025-05-01T11:20:13.769569,,54.2,48.4267461256,2.7108759097
5360,croix-augas-02,209.0,0.0,2025-05-01T10:32:14.632773,2025-05-01T10:32:19.514526,,54.2,48.4267461256,2.7108759097
5357,croix-augas-02,209.0,0.0,2025-05-01T09:35:13.262244,2025-05-01T09:36:13.655896,,54.2,48.4267461256,2.7108759097
5356,croix-augas-01,78.0,0.0,2025-05-01T09:26:10.993627,2025-05-01T09:53:41.465324,,54.2,48.4267461256,2.7108759097
5355,croix-augas-01,30.0,0.0,2025-05-01T09:18:40.712405,2025-05-01T09:44:11.721009,,54.2,48.4267461256,2.7108759097
5354,croix-augas-02,64.0,0.0,2025-05-01T08:27:41.363079,2025-05-01T11:30:44.998062,,54.2,48.4267461256,2.7108759097
5397,croix-augas-01,30.0,0.0,2025-05-02T13:32:18.151331,2025-05-02T13:32:48.225670,,54.2,48.4267461256,2.7108759097
5396,croix-augas-01,246.0,0.0,2025-05-02T13:29:17.813866,2025-05-02T13:33:16.799916,,54.2,48.4267461256,2.7108759097
5395,croix-augas-01,294.0,0.0,2025-05-02T13:03:17.279782,2025-05-02T13:03:22.644386,,54.2,48.4267461256,2.7108759097
5394,croix-augas-01,30.0,0.0,2025-05-02T12:08:43.992421,2025-05-02T12:41:45.442935,,54.2,48.4267461256,2.7108759097
5393,croix-augas-01,246.0,0.0,2025-05-02T12:03:44.734549,2025-05-02T12:33:15.105047,,54.2,48.4267461256,2.7108759097
5391,croix-augas-01,78.0,0.0,2025-05-02T11:26:43.861395,2025-05-02T11:28:13.394017,,54.2,48.4267461256,2.7108759097
5389,croix-augas-01,30.0,0.0,2025-05-02T10:21:44.032003,2025-05-02T10:42:12.218067,,54.2,48.4267461256,2.7108759097
5458,croix-augas-01,246.0,0.0,2025-05-03T15:59:35.706242,2025-05-03T15:59:39.525808,,54.2,48.4267461256,2.7108759097
5443,croix-augas-01,246.0,0.0,2025-05-03T11:45:58.103662,2025-05-03T14:50:02.993080,,54.2,48.4267461256,2.7108759097
5441,croix-augas-01,30.0,0.3252000000000003,2025-05-03T11:27:59.724390,2025-05-03T12:47:59.776482,,54.2,48.4267461256,2.7108759097
5411,croix-augas-01,30.0,0.0,2025-05-03T04:02:47.127869,2025-05-03T04:05:46.315531,,54.2,48.4267461256,2.7108759097
5513,croix-augas-02,113.0,0.0,2025-05-04T18:32:08.985981,2025-05-04T18:32:13.763045,,54.2,48.4267461256,2.7108759097
5507,croix-augas-02,113.0,0.0,2025-05-04T15:01:33.691293,2025-05-04T15:54:35.065634,,54.2,48.4267461256,2.7108759097
